iter	MultiClass
0	0.8316200196
1	0.7533264064
2	0.7170328721
3	0.6944653567
4	0.6808368406
5	0.6648789983
6	0.6574729061
7	0.6502483603
8	0.6457500789
9	0.6391833263
10	0.6327765941
11	0.6285955475
12	0.6251839576
13	0.6212730166
14	0.617898341
15	0.6154434098
16	0.6119606218
17	0.609033784
18	0.6053237233
19	0.6031032109
20	0.6012816972
21	0.5985583702
22	0.59394711
23	0.5904301698
24	0.5880572215
25	0.5860476729
26	0.5841544788
27	0.5827220118
28	0.5804335017
29	0.5792282197
30	0.5771602308
31	0.5750673839
32	0.5734411388
33	0.5713132628
34	0.5697840821
35	0.5683844083
36	0.5661453511
37	0.5633616547
38	0.5611707351
39	0.5599612882
40	0.5583513521
41	0.556563333
42	0.5556436763
43	0.5543067393
44	0.5525677785
45	0.5512997159
46	0.5497115688
47	0.5478494143
48	0.5471119616
49	0.5454003139
50	0.5442616705
51	0.542784617
52	0.5415231306
53	0.5396682537
54	0.5386982674
55	0.5378053977
56	0.5370401936
57	0.5367091049
58	0.5359847608
59	0.5347794788
60	0.5339739846
61	0.5330305661
62	0.5323038545
63	0.5307916404
64	0.5300327055
65	0.5291471135
66	0.5282853272
67	0.5273839962
68	0.5262833193
69	0.5253940885
70	0.5243263801
71	0.5237056766
72	0.5228496335
73	0.522127306
74	0.5215112935
75	0.5202100431
76	0.5197085876
77	0.5184358779
78	0.5178307818
79	0.5169143694
80	0.5160565288
81	0.5154256103
82	0.5149239794
83	0.5138199705
84	0.513125
85	0.512412493
86	0.5118225221
87	0.511171612
88	0.5108364899
89	0.5102064043
90	0.509522131
91	0.5087342172
92	0.5077313061
93	0.5072025375
94	0.5067378209
95	0.5060193515
96	0.5054369651
97	0.5049106078
98	0.5043973152
99	0.5038254507
