iter	Passed	Remaining
0	10	1061
1	21	1049
2	31	1020
3	41	990
4	51	969
5	61	956
6	70	933
7	80	930
8	90	919
9	100	902
10	111	902
11	122	896
12	131	882
13	143	878
14	156	887
15	225	1183
16	311	1521
17	338	1540
18	410	1749
19	435	1740
20	463	1743
21	500	1773
22	525	1759
23	549	1739
24	575	1726
25	601	1712
26	637	1722
27	677	1741
28	699	1713
29	735	1716
30	763	1699
31	787	1674
32	814	1653
33	837	1625
34	859	1595
35	881	1567
36	906	1543
37	934	1524
38	961	1503
39	990	1485
40	1014	1459
41	1040	1437
42	1066	1413
43	1089	1386
44	1113	1360
45	1141	1339
46	1169	1319
47	1233	1336
48	1265	1317
49	1296	1296
50	1357	1304
51	1391	1284
52	1417	1256
53	1459	1242
54	1494	1222
55	1537	1207
56	1568	1183
57	1595	1155
58	1619	1125
59	1643	1095
60	1665	1064
61	1685	1033
62	1707	1002
63	1736	976
64	1758	946
65	1783	918
66	1805	889
67	1831	861
68	1853	832
69	1876	804
70	1901	776
71	1921	747
72	1950	721
73	1973	693
74	1994	664
75	2025	639
76	2047	611
77	2073	584
78	2094	556
79	2115	528
80	2137	501
81	2163	474
82	2186	447
83	2221	423
84	2243	395
85	2267	369
86	2289	342
87	2315	315
88	2354	291
89	2385	265
90	2405	237
91	2427	211
92	2451	184
93	2475	158
94	2516	132
95	2534	105
96	2573	79
97	2620	53
98	2685	27
99	2731	0
